CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
146187-QTY,2017,0,0,0,0,0,0,0,0,2,2,4,0
146188-ZTH,2017,0,0,0,0,0,0,0,0,0,0,71,63
146189-ITQ,2017,0,0,0,0,0,0,0,0,0,0,39,44
146190-RTZ,2017,0,0,0,0,0,0,0,0,16,7,28,10
146191-ATI,2017,0,0,0,0,0,0,0,0,0,4,0,0
146202-VTD,2017,0,0,0,0,0,0,0,0,0,0,56,32
146203-ETM,2017,0,0,0,0,0,0,0,0,0,0,44,58
146206-FTN,2017,0,0,0,0,0,0,0,0,0,0,0,57
146207-OTW,2017,0,0,0,0,0,0,0,0,0,0,5,32
146208-XTF,2017,0,0,0,0,0,0,0,0,0,0,0,67
146209-GTO,2017,0,0,0,0,0,0,0,0,0,0,0,36
146210-PTX,2017,0,0,0,0,0,0,0,0,0,0,0,36
146213-QUY,2017,0,0,0,0,0,0,0,0,0,0,7,15
146214-ZUH,2017,0,0,0,0,0,0,0,0,34,17,27,0
146216-RUZ,2017,0,0,0,0,0,0,0,0,0,0,5,12
146219-SUA,2017,0,0,0,0,0,0,0,0,1,1,12,1
146220-BUJ,2017,0,0,0,0,0,0,0,0,3,0,33,25
146221-KUS,2017,0,0,0,0,0,0,0,0,0,0,57,34
146223-CUK,2017,0,0,0,0,0,0,0,0,0,0,0,1
146225-UUC,2017,0,0,0,0,0,0,0,0,46,3,0,0
146227-MUU,2017,0,0,0,0,0,0,0,0,3,2,51,16
146230-NUV,2017,0,0,0,0,0,0,0,0,0,0,32,91
146240-ZVH,2017,0,0,0,0,0,0,0,0,0,0,17,82
146256-NVV,2017,0,0,0,0,0,0,0,0,0,0,0,18
146264-HWP,2017,0,0,0,0,0,0,0,0,11,3,21,2
146267-IWQ,2017,0,0,0,0,0,0,0,0,0,0,0,30
146284-FWN,2017,0,0,0,0,0,0,0,0,0,1,0,0
146307-EXM,2017,0,0,0,0,0,0,0,0,1,1,1,0
146309-WXE,2017,0,0,0,0,0,0,0,0,6,0,6,0
146311-OXW,2017,0,0,0,0,0,0,0,0,7,2,12,0
146312-XXF,2017,0,0,0,0,0,0,0,0,10,0,0,0
146314-PYX,2017,0,0,0,0,0,0,0,0,15,0,1,0
146315-YYG,2017,0,0,0,0,0,0,0,0,12,10,75,9
146316-HYP,2017,0,0,0,0,0,0,0,0,0,0,26,32
146317-QYY,2017,0,0,0,0,0,0,0,0,0,0,66,29
146319-IYQ,2017,0,0,0,0,0,0,0,0,0,0,2,7
146320-RYZ,2017,0,0,0,0,0,0,0,0,0,0,9,8
146323-SYA,2017,0,0,0,0,0,0,0,0,0,0,0,13
146325-KYS,2017,0,0,0,0,0,0,0,0,4,4,0,0
146328-LYT,2017,0,0,0,0,0,0,0,0,9,47,250,1
146329-UYC,2017,0,0,0,0,0,0,0,0,0,0,16,7
146330-DYL,2017,0,0,0,0,0,0,0,0,0,0,0,1
146331-MYU,2017,0,0,0,0,0,0,0,0,26,6,66,74
146332-VYD,2017,0,0,0,0,0,0,0,0,0,0,0,24
146338-XYF,2017,0,0,0,0,0,0,0,0,0,1,10,2
146341-YZG,2017,0,0,0,0,0,0,0,0,7,4,26,20
146343-QZY,2017,0,0,0,0,0,0,0,0,75,43,51,60
146344-ZZH,2017,0,0,0,0,0,0,0,0,10,16,102,0
146345-IZQ,2017,0,0,0,0,0,0,0,0,32,23,69,0
146346-RZZ,2017,0,0,0,0,0,0,0,0,0,1,0,0
146347-AZI,2017,0,0,0,0,0,0,0,0,0,2,13,0
146348-JZR,2017,0,0,0,0,0,0,0,0,0,8,17,0
146350-BZJ,2017,0,0,0,0,0,0,0,0,0,0,1,0
146351-KZS,2017,0,0,0,0,0,0,0,0,3,2,22,1
146354-LZT,2017,0,0,0,0,0,0,0,0,0,0,0,1
146356-DZL,2017,0,0,0,0,0,0,0,0,6,6,6,0
146357-MZU,2017,0,0,0,0,0,0,0,0,0,4,9,0
146360-NZV,2017,0,0,0,0,0,0,0,0,0,0,24,1
146362-FZN,2017,0,0,0,0,0,0,0,0,0,2,25,0
163299-DAL,2017,0,0,0,0,0,0,0,0,0,0,94,14
163302-MAU,2017,0,0,0,0,0,0,0,0,11,3,12,7
163305-VAD,2017,0,0,0,0,0,0,0,0,0,2,3,0
163308-EAM,2017,0,0,0,0,0,0,0,0,1,0,0,0
163311-NAV,2017,0,0,0,0,0,0,0,0,21,2,0,0
163317-FAN,2017,0,0,0,0,0,0,0,0,0,0,10,0
163320-OAW,2017,0,0,0,0,0,0,0,0,13,14,11,3
163326-GAO,2017,0,0,0,0,0,0,0,0,0,0,2,1
163329-PAX,2017,0,0,0,0,0,0,0,0,14,3,36,2
163335-HAP,2017,0,0,0,0,0,0,0,0,0,1,1,0
163338-QAY,2017,0,0,0,0,0,0,0,0,4,11,9,5
163341-ZAH,2017,0,0,0,0,0,0,0,0,0,0,61,53
163353-JAR,2017,0,0,0,0,0,0,0,0,0,3,47,38
163356-SAA,2017,0,0,0,0,0,0,0,0,1,1,0,0
163362-KAS,2017,0,0,0,0,0,0,0,0,5,0,0,0
163365-TAB,2017,0,0,0,0,0,0,0,0,16,6,0,1
163368-CBK,2017,0,0,0,0,0,0,0,0,0,0,0,1
163374-UBC,2017,0,0,0,0,0,0,0,0,1,3,0,0
163377-DBL,2017,0,0,0,0,0,0,0,0,0,1,0,0
163380-MBU,2017,0,0,0,0,0,0,0,0,0,1,1,0
163383-VBD,2017,0,0,0,0,0,0,0,0,4,1,0,0
163386-EBM,2017,0,0,0,0,0,0,0,0,6,0,0,0
163389-NBV,2017,0,0,0,0,0,0,0,0,0,2,1,0
163392-WBE,2017,0,0,0,0,0,0,0,0,2,0,0,2
163395-FBN,2017,0,0,0,0,0,0,0,0,1,1,3,0
163398-OBW,2017,0,0,0,0,0,0,0,0,0,0,1,0
163401-XBF,2017,0,0,0,0,0,0,0,0,2,1,1,0
163404-GBO,2017,0,0,0,0,0,0,0,0,52,37,1,0
163407-PBX,2017,0,0,0,0,0,0,0,0,1,2,3,2
163413-HBP,2017,0,0,0,0,0,0,0,0,0,0,7,9
163416-QBY,2017,0,0,0,0,0,0,0,0,14,5,8,0
163425-RBZ,2017,0,0,0,0,0,0,0,0,0,0,0,66
163428-ABI,2017,0,0,0,0,0,0,0,0,5,0,18,0
163431-JBR,2017,0,0,0,0,0,0,0,0,4,4,5,1
163434-SBA,2017,0,0,0,0,0,0,0,0,0,7,43,8
